Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Francisco Meixedo,pt POR,GK,Estrela,23,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yair Mena Palacios,co COL,"MF,FW",AVS Futebol,24,2000,10,0,93,1.0,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10
João Mendes,pt POR,"MF,FW",Vitória,29,1994,32,16,1536,17.1,4,2,6,4,0,0,4,0,2.1,2.1,2.4,4.5,39,97,133,0.23,0.12,0.35,0.23,0.35,0.12,0.14,0.26,0.12,0.26
João Mendes,pt POR,DF,Vitória,24,2000,32,32,2769,30.8,0,0,0,0,0,0,10,0,0.7,0.7,1.5,2.2,66,141,206,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Joe Mendes,se SWE,DF,Braga,21,2002,4,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,11,10,19,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Gustavo Mendonça,pt POR,MF,AVS Futebol,21,2003,18,7,674,7.5,1,0,1,1,0,0,3,0,0.1,0.1,0.2,0.3,1,20,6,0.13,0.00,0.13,0.13,0.13,0.01,0.03,0.04,0.01,0.04
Miguel Menino,pt POR,MF,Farense,21,2003,27,22,1830,20.3,2,0,2,2,0,0,3,0,1.2,1.2,1.0,2.2,16,52,50,0.10,0.00,0.10,0.10,0.10,0.06,0.05,0.11,0.06,0.11
John Mercado,ec ECU,"FW,MF",AVS Futebol,22,2002,33,28,2341,26.0,3,1,4,3,0,0,2,0,3.3,3.3,3.8,7.1,84,35,162,0.12,0.04,0.15,0.12,0.15,0.12,0.15,0.27,0.12,0.27
Mehdi Merghem,fr FRA,"MF,FW",Farense,27,1997,12,5,460,5.1,0,0,0,0,0,0,2,0,0.3,0.3,1.5,1.8,17,23,24,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.35,0.05,0.35
Bruno Messi,pt POR,"FW,MF",Santa Clara,27,1996,7,0,113,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,4,18,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.15,0.09,0.15
Michel,br BRA,DF,Moreirense,21,2003,5,3,249,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dieu-Merci Michel,ca CAN,FW,Vitória,20,2004,9,4,371,4.1,2,0,2,2,0,0,0,0,1.5,1.5,0.1,1.6,2,2,13,0.49,0.00,0.49,0.49,0.49,0.37,0.01,0.38,0.37,0.38
Enea Mihaj,al ALB,DF,Famalicão,26,1998,29,29,2533,28.1,0,1,1,0,0,0,8,0,1.0,1.0,0.2,1.2,8,73,2,0.00,0.04,0.04,0.00,0.04,0.04,0.01,0.04,0.04,0.04
Mika,pt POR,GK,Moreirense,33,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Álex Millán,es ESP,"FW,MF",Farense,24,1999,9,4,403,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,7,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Juan Mina,co COL,FW,Estrela,20,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Cezary Miszta,pl POL,GK,Rio Ave,22,2001,26,26,2325,25.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Iyad Mohamed,km COM,MF,Casa Pia,23,2001,10,5,487,5.4,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,18,13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Isaac Monteiro,pt POR,DF,Casa Pia,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rodrigo Mora,pt POR,"MF,FW",Porto,17,2007,23,16,1370,15.2,10,4,14,10,0,0,3,0,4.7,4.7,1.5,6.2,43,72,97,0.66,0.26,0.92,0.66,0.92,0.31,0.10,0.41,0.31,0.41
Morato,br BRA,DF,Benfica,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Paulo Moreira,pt POR,MF,Estrela,24,2000,26,14,1297,14.4,1,0,1,1,0,0,3,0,0.3,0.3,0.5,0.9,17,41,18,0.07,0.00,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06
Marco Moreno,es ESP,DF,Farense,23,2001,25,24,2044,22.7,0,0,0,0,0,0,7,1,0.9,0.9,0.3,1.2,9,54,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Dani Morer,es ESP,DF,Moreirense,26,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hidemasa Morita,jp JPN,MF,Sporting CP,29,1995,23,13,1294,14.4,2,3,5,2,0,0,1,0,1.6,1.6,2.7,4.3,21,107,39,0.14,0.21,0.35,0.14,0.35,0.11,0.19,0.30,0.11,0.30
Moura,pt POR,DF,Famalicão,24,1999,4,4,360,4.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,9,9,19,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.14,0.01,0.14
Moura,pt POR,"DF,MF",Porto,24,1999,27,26,2210,24.6,3,9,12,3,0,0,2,0,0.3,0.3,4.4,4.8,52,102,175,0.12,0.37,0.49,0.12,0.49,0.01,0.18,0.19,0.01,0.19
João Moutinho,pt POR,MF,Braga,37,1986,22,19,1666,18.5,1,2,3,1,0,0,8,2,0.6,0.6,1.2,1.8,20,157,21,0.05,0.11,0.16,0.05,0.16,0.03,0.06,0.10,0.03,0.10
MT,br BRA,"DF,MF",Santa Clara,23,2001,33,32,2789,31.0,1,1,2,1,0,0,5,0,1.8,1.8,1.9,3.7,41,130,48,0.03,0.03,0.06,0.03,0.06,0.06,0.06,0.12,0.06,0.12
Jonathan Mutombo,fr FRA,DF,Gil Vicente FC,21,2002,15,7,769,8.5,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,19,30,34,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08
Manuel Namora,pt POR,"MF,FW",Boavista,26,1998,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,7,9,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Dylan Nandín,uy URU,FW,Arouca,22,2002,15,5,657,7.3,3,1,4,3,0,0,2,0,2.6,2.6,0.8,3.5,13,6,43,0.41,0.14,0.55,0.41,0.55,0.36,0.12,0.47,0.36,0.47
Nani,pt POR,"FW,MF",Estrela,37,1986,9,4,465,5.2,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,9,11,20,0.19,0.00,0.19,0.19,0.19,0.06,0.07,0.13,0.06,0.13
Fran Navarro,es ESP,FW,Porto,26,1998,4,1,91,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,5,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.43,0.43
Fran Navarro,es ESP,FW,Braga,26,1998,10,10,669,7.4,4,0,4,3,1,1,1,0,3.0,2.2,0.2,2.5,2,6,27,0.54,0.00,0.54,0.40,0.40,0.41,0.03,0.44,0.30,0.33
Christian Neiva Afonso,pt POR,"DF,MF",AVS Futebol,29,1994,26,21,1619,18.0,1,2,3,1,0,0,5,1,0.4,0.4,2.0,2.4,13,43,42,0.06,0.11,0.17,0.06,0.17,0.02,0.11,0.13,0.02,0.13
Nenê,br BRA,FW,AVS Futebol,41,1983,18,8,867,9.6,4,1,5,4,0,1,3,0,3.6,2.8,0.5,3.3,2,21,40,0.42,0.10,0.52,0.42,0.52,0.37,0.05,0.43,0.29,0.35
Neto,br BRA,MF,Farense,32,1991,24,22,1761,19.6,2,0,2,1,1,1,9,0,1.2,0.4,0.6,1.0,3,84,6,0.10,0.00,0.10,0.05,0.05,0.06,0.03,0.09,0.02,0.05
Martim Neto,pt POR,MF,Rio Ave,21,2003,24,15,1371,15.2,2,1,3,2,0,0,6,1,0.8,0.8,1.3,2.0,29,83,28,0.13,0.07,0.20,0.13,0.20,0.05,0.09,0.13,0.05,0.13
Renato Nhaga,gw GNB,MF,Casa Pia,17,2007,3,1,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Sikou Niakaté,ml MLI,DF,Braga,25,1999,24,22,1961,21.8,1,1,2,1,0,0,4,0,1.1,1.1,0.9,2.0,11,102,5,0.05,0.05,0.09,0.05,0.09,0.05,0.04,0.09,0.05,0.09
Yusupha Njie,gm GAM,"FW,MF",Farense,30,1994,14,7,633,7.0,0,0,0,0,0,0,1,0,1.4,1.4,0.3,1.7,12,10,24,0.00,0.00,0.00,0.00,0.00,0.20,0.04,0.24,0.20,0.24
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Miguel Nóbrega,pt POR,DF,Rio Ave,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonatás Noro,pt POR,DF,Braga,19,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
João Novais,pt POR,MF,Rio Ave,31,1993,30,15,1402,15.6,0,0,0,0,0,0,2,0,1.7,1.7,3.0,4.7,33,68,50,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30
Andreas Ntoi,gr GRE,DF,Rio Ave,21,2003,16,15,1364,15.2,0,0,0,0,0,0,2,0,0.4,0.4,0.6,0.9,3,40,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Samuel Obeng,gh GHA,FW,Casa Pia,27,1997,11,4,369,4.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.7,3,4,8,0.24,0.00,0.24,0.24,0.24,0.17,0.01,0.18,0.17,0.18
Guillermo Ochoa,mx MEX,GK,AVS Futebol,39,1985,23,23,2070,23.0,0,0,0,0,0,0,4,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Lawrence Ofori,gh GHA,MF,Moreirense,26,1998,25,20,1780,19.8,1,1,2,1,0,0,1,0,0.1,0.1,0.8,1.0,17,93,13,0.05,0.05,0.10,0.05,0.10,0.01,0.04,0.05,0.01,0.05
Leonardo Oliveira,pt POR,FW,Famalicão,19,2005,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nélson Oliveira,pt POR,FW,Vitória,32,1991,31,21,1776,19.7,3,4,7,3,0,0,5,0,3.6,3.6,2.8,6.4,23,36,89,0.15,0.20,0.35,0.15,0.35,0.18,0.14,0.32,0.18,0.32
Paulo Oliveira,pt POR,DF,Braga,32,1992,21,21,1710,19.0,1,0,1,1,0,0,5,0,2.1,2.1,0.0,2.1,2,51,1,0.05,0.00,0.05,0.05,0.05,0.11,0.00,0.11,0.11,0.11
Talys Oliveira,br BRA,DF,Farense,25,1999,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,4,13,12,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.10,0.01,0.10
Samu Omorodion,es ESP,FW,Porto,20,2004,30,23,2263,25.1,19,3,22,15,4,4,3,1,14.1,10.9,2.0,12.9,23,28,132,0.76,0.12,0.87,0.60,0.72,0.56,0.08,0.64,0.43,0.51
Bruno Onyemaechi,ng NGA,"DF,MF",Boavista,25,1999,18,17,1566,17.4,3,1,4,3,0,0,5,0,1.6,1.6,1.2,2.8,23,34,68,0.17,0.06,0.23,0.17,0.23,0.09,0.07,0.16,0.09,0.16
Jandro Orellana,es ESP,MF,Estoril,23,2000,23,11,1018,11.3,1,1,2,1,0,0,3,0,1.2,1.2,0.4,1.5,9,39,14,0.09,0.09,0.18,0.09,0.18,0.10,0.03,0.13,0.10,0.13
Korede Osundina,us USA,FW,Casa Pia,20,2004,7,2,169,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,3,3,16,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18
Nicolás Otamendi,ar ARG,DF,Benfica,36,1988,31,30,2706,30.1,6,2,8,6,0,0,4,0,3.7,3.7,1.4,5.1,15,132,10,0.20,0.07,0.27,0.20,0.27,0.12,0.05,0.17,0.12,0.17
Amine El Ouazzani,ma MAR,FW,Braga,23,2001,33,15,1604,17.8,7,1,8,7,0,0,1,0,6.5,6.5,1.8,8.3,12,21,70,0.39,0.06,0.45,0.39,0.45,0.37,0.10,0.47,0.37,0.47
Amine Oudrhiri,ma MAR,MF,Estrela,31,1992,11,9,722,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,29,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Amine Oudrhiri,ma MAR,MF,Rio Ave,31,1992,13,8,650,7.2,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,1,19,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
Pablo,br BRA,FW,Gil Vicente FC,20,2004,20,8,802,8.9,5,0,5,5,0,0,2,0,2.1,2.1,0.8,3.0,10,10,45,0.56,0.00,0.56,0.56,0.56,0.24,0.09,0.33,0.24,0.33
Renato Pantalon,hr CRO,DF,Estrela,26,1997,12,7,705,7.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,13,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Renato Pantalon,hr CRO,DF,Rio Ave,26,1997,9,7,695,7.7,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,2,27,6,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12
Jonathan Panzo,eng ENG,DF,Rio Ave,23,2000,18,15,1292,14.4,1,0,1,1,0,0,4,1,0.7,0.7,0.5,1.2,7,41,0,0.07,0.00,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08
Tiago Parente,pt POR,DF,Estoril,20,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Pastor,br BRA,"DF,MF",Farense,24,2000,31,30,2602,28.9,0,2,2,0,0,0,4,0,0.2,0.2,1.5,1.7,58,74,104,0.00,0.07,0.07,0.00,0.07,0.01,0.05,0.06,0.01,0.06
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Afonso Patrão,pt POR,FW,Braga,17,2007,7,3,243,2.7,1,1,2,1,0,0,0,0,0.5,0.5,0.5,1.0,1,6,7,0.37,0.37,0.74,0.37,0.74,0.17,0.19,0.37,0.17,0.37
Patrick,br BRA,DF,Rio Ave,27,1997,13,11,995,11.1,1,0,1,1,0,0,5,1,1.1,1.1,0.1,1.2,10,34,6,0.09,0.00,0.09,0.09,0.09,0.10,0.01,0.10,0.10,0.10
Vangelis Pavlidis,gr GRE,FW,Benfica,25,1998,34,27,2257,25.1,19,7,26,16,3,3,3,0,18.6,16.2,5.5,21.7,43,56,182,0.76,0.28,1.04,0.64,0.92,0.74,0.22,0.96,0.65,0.87
Zé Pedro Figueiredo,pt POR,DF,Porto,27,1997,20,16,1497,16.6,0,0,0,0,0,0,2,0,0.9,0.9,0.4,1.3,9,93,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08
João Pedro,br BRA,DF,Rio Ave,21,2003,5,2,274,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,4,0.00,0.33,0.33,0.00,0.33,0.01,0.01,0.03,0.01,0.03
Daniel Penha,br BRA,MF,Nacional,25,1998,30,18,1488,16.5,4,1,5,4,0,0,2,0,3.2,3.2,1.7,4.9,29,65,65,0.24,0.06,0.30,0.24,0.30,0.19,0.10,0.29,0.19,0.29
Pepê,br BRA,"FW,MF",Porto,27,1997,31,25,1991,22.1,3,2,5,3,0,0,4,0,4.8,4.8,2.9,7.7,42,92,174,0.14,0.09,0.23,0.14,0.23,0.22,0.13,0.35,0.22,0.35
Diogo Pereira,pt POR,"DF,MF",Gil Vicente FC,21,2003,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Pereira,pt POR,MF,Estoril,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Henrique Pereira,pt POR,"FW,MF",Casa Pia,22,2002,24,7,756,8.4,1,1,2,1,0,0,1,0,0.7,0.7,2.1,2.8,35,13,73,0.12,0.12,0.24,0.12,0.24,0.08,0.25,0.33,0.08,0.33
Matheus Pereira,br BRA,"MF,DF",Santa Clara,23,2000,28,18,1723,19.1,0,4,4,0,0,0,12,1,1.3,1.3,3.3,4.7,31,37,70,0.00,0.21,0.21,0.00,0.21,0.07,0.17,0.24,0.07,0.24
Sebastián Pérez Cardona,co COL,MF,Boavista,31,1993,29,24,2024,22.5,1,0,1,1,0,0,8,2,0.6,0.6,1.5,2.1,7,112,17,0.04,0.00,0.04,0.04,0.04,0.03,0.07,0.09,0.03,0.09
Nehuén Pérez,ar ARG,DF,Porto,24,2000,25,24,2069,23.0,1,2,3,1,0,0,11,1,1.4,1.4,0.6,1.9,18,130,10,0.04,0.09,0.13,0.04,0.13,0.06,0.02,0.08,0.06,0.08
Tomás Pérez,ar ARG,"MF,DF",Porto,18,2005,6,1,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Francisco Petrasso,ar ARG,DF,Rio Ave,22,2002,7,5,412,4.6,1,0,1,1,0,0,2,0,1.4,1.4,0.0,1.4,1,3,0,0.22,0.00,0.22,0.22,0.22,0.31,0.00,0.31,0.31,0.31
Petterson,br BRA,"MF,FW",Estrela,20,2004,3,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,9,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Lucas Piazon,br BRA,"MF,FW",AVS Futebol,30,1994,30,27,2377,26.4,0,3,3,0,0,0,3,0,3.3,3.3,2.4,5.7,28,105,104,0.00,0.11,0.11,0.00,0.11,0.13,0.09,0.22,0.13,0.22
Wagner Pina,cv CPV,"DF,MF",Estoril,21,2002,30,28,2368,26.3,2,4,6,2,0,0,5,1,2.0,2.0,2.8,4.8,42,54,145,0.08,0.15,0.23,0.08,0.23,0.08,0.10,0.18,0.08,0.18
Rodrigo Pinheiro,pt POR,DF,Famalicão,21,2002,29,21,1999,22.2,0,2,2,0,0,0,5,0,0.8,0.8,2.0,2.7,43,99,111,0.00,0.09,0.09,0.00,0.09,0.04,0.09,0.12,0.04,0.12
Rodrigo Pinho,br BRA,FW,Estrela,33,1991,33,18,1665,18.5,5,0,5,4,1,2,6,0,6.1,4.6,0.6,5.2,13,33,48,0.27,0.00,0.27,0.22,0.22,0.33,0.03,0.37,0.25,0.28
Alexandre Pinto,pt POR,DF,Arouca,26,1998,14,9,823,9.1,0,1,1,0,0,0,4,0,0.6,0.6,0.9,1.5,9,29,53,0.00,0.11,0.11,0.00,0.11,0.07,0.10,0.17,0.07,0.17
Dinis Pinto,pt POR,DF,Moreirense,23,2000,27,24,2171,24.1,2,1,3,2,0,0,8,0,1.7,1.7,1.5,3.2,54,71,96,0.08,0.04,0.12,0.08,0.12,0.07,0.06,0.13,0.07,0.13
Jaime Pinto,pt POR,"MF,FW",Farense,26,1997,8,1,231,2.6,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,9,2,8,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
João Pinto,pt POR,MF,Gil Vicente FC,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ole Pohlmann,de GER,"MF,FW",Rio Ave,23,2001,28,20,1594,17.7,1,2,3,1,0,0,1,0,1.6,1.6,1.8,3.3,38,48,76,0.06,0.11,0.17,0.06,0.17,0.09,0.10,0.19,0.09,0.19
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Carlos Ponck,cv CPV,DF,Moreirense,29,1995,9,5,485,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,13,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Boris Popović,rs SRB,DF,Arouca,24,2000,16,10,898,10.0,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,2,22,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Darío Poveda,es ESP,"FW,MF",Farense,27,1997,22,11,991,11.0,4,1,5,4,0,0,2,0,1.9,1.9,0.2,2.1,11,20,53,0.36,0.09,0.45,0.36,0.45,0.18,0.02,0.19,0.18,0.19
Gianluca Prestianni,ar ARG,"MF,FW",Benfica,18,2006,8,4,287,3.2,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,7,22,38,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.26,0.22,0.26
Diogo Prioste,pt POR,MF,Benfica,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Puche García,es ESP,"FW,MF",Arouca,23,2001,22,4,519,5.8,2,0,2,2,0,0,1,0,1.2,1.2,1.2,2.4,18,18,43,0.35,0.00,0.35,0.35,0.35,0.22,0.20,0.42,0.22,0.42
Quaresma,br BRA,DF,Arouca,27,1996,3,0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,4,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Eduardo Quaresma,pt POR,DF,Sporting CP,22,2002,20,18,1391,15.5,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.3,32,107,16,0.06,0.00,0.06,0.06,0.06,0.01,0.01,0.02,0.01,0.02
Geovany Quenda,pt POR,"MF,DF",Sporting CP,17,2007,34,26,2253,25.0,2,4,6,2,0,0,2,0,3.4,3.4,4.8,8.2,97,123,222,0.08,0.16,0.24,0.08,0.24,0.14,0.19,0.33,0.14,0.33
Uroš Račić,rs SRB,MF,Braga,26,1998,14,8,721,8.0,3,1,4,3,0,0,5,0,1.0,1.0,0.3,1.3,6,50,17,0.37,0.12,0.50,0.37,0.50,0.13,0.03,0.16,0.13,0.16
Rafinha,pt POR,MF,Farense,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jesús Ramírez,ve VEN,FW,Vitória,26,1998,25,6,732,8.1,3,2,5,3,0,0,2,0,4.8,4.8,0.4,5.2,5,9,46,0.37,0.25,0.61,0.37,0.61,0.59,0.05,0.64,0.59,0.64
Cláudio Ramos,pt POR,GK,Porto,32,1991,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guilherme Ramos,pt POR,DF,Santa Clara,26,1997,6,4,331,3.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Leonardo Realpe,ec ECU,DF,Famalicão,23,2001,5,5,450,5.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,13,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.12,0.11,0.12
João Rêgo,pt POR,FW,Benfica,19,2005,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Reis Ferreira,pt POR,DF,Estrela,27,1997,18,16,1410,15.7,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.7,6,53,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05
Matheus Reis,br BRA,DF,Sporting CP,29,1995,30,14,1319,14.7,0,2,2,0,0,0,5,1,0.6,0.6,1.1,1.7,35,104,55,0.00,0.14,0.14,0.00,0.14,0.04,0.07,0.12,0.04,0.12
Tiago Reis,br BRA,FW,Nacional,24,1999,7,3,231,2.6,0,0,0,0,0,0,1,0,1.6,1.6,0.1,1.8,0,2,8,0.00,0.00,0.00,0.00,0.00,0.64,0.06,0.70,0.64,0.70
Miguel Reisinho,pt POR,"MF,FW",Boavista,25,1999,29,23,2172,24.1,5,0,5,0,5,5,11,1,6.3,2.3,0.8,3.1,10,75,75,0.21,0.00,0.21,0.00,0.00,0.26,0.03,0.29,0.10,0.13
Filipe Relvas,pt POR,DF,Vitória,24,1999,11,9,843,9.4,0,0,0,0,0,0,2,0,0.9,0.9,0.0,0.9,5,37,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
